,Unnamed: 0,movieId,name,rating,userId
0,60504,1132.0,zl,5.0,391.0
1,60505,1136.0,zl,5.0,391.0
2,60506,1148.0,zl,5.0,391.0
3,60507,1150.0,zl,5.0,391.0
4,60508,1172.0,zl,5.0,391.0
5,60509,1173.0,zl,4.0,391.0
6,60510,1175.0,zl,5.0,391.0
7,60511,1178.0,zl,5.0,391.0
8,60512,1179.0,zl,4.0,391.0
9,60513,1183.0,zl,3.0,391.0
10,60514,1184.0,zl,4.0,391.0
11,60515,1185.0,zl,5.0,391.0
12,60516,1193.0,zl,5.0,391.0
13,60517,1196.0,zl,5.0,391.0
14,60518,1197.0,zl,5.0,391.0
15,60519,1199.0,zl,5.0,391.0
16,60520,1200.0,zl,3.0,391.0
17,60521,1201.0,zl,4.0,391.0
18,60522,1204.0,zl,5.0,391.0
19,60523,1206.0,zl,5.0,391.0
20,60524,1208.0,zl,5.0,391.0
21,60525,1210.0,zl,4.0,391.0
22,60526,1213.0,zl,4.0,391.0
23,60527,1214.0,zl,4.0,391.0
24,60528,1216.0,zl,3.0,391.0
25,60529,1219.0,zl,5.0,391.0
26,60530,1220.0,zl,5.0,391.0
27,60531,1221.0,zl,4.0,391.0
28,60532,1222.0,zl,4.0,391.0
29,60533,1225.0,zl,5.0,391.0
30,60534,1228.0,zl,5.0,391.0
31,60535,1230.0,zl,4.0,391.0
32,60536,1233.0,zl,5.0,391.0
33,60537,1240.0,zl,4.0,391.0
34,60538,1244.0,zl,4.0,391.0
35,60539,1245.0,zl,5.0,391.0
36,60540,1246.0,zl,4.0,391.0
37,60541,1247.0,zl,4.0,391.0
38,60542,1249.0,zl,5.0,391.0
39,60543,1256.0,zl,5.0,391.0
40,60544,1258.0,zl,5.0,391.0
41,60545,1259.0,zl,4.0,391.0
42,60546,1265.0,zl,4.0,391.0
43,60547,1266.0,zl,2.0,391.0
44,60548,1270.0,zl,4.0,391.0
45,60549,1277.0,zl,5.0,391.0
46,60550,1279.0,zl,4.0,391.0
47,60551,1281.0,zl,5.0,391.0
48,60552,1282.0,zl,5.0,391.0
49,60553,1285.0,zl,3.0,391.0
50,60554,1291.0,zl,4.0,391.0
51,60555,1296.0,zl,4.0,391.0
52,60556,1307.0,zl,4.0,391.0
53,60557,1333.0,zl,4.0,391.0
54,60558,1348.0,zl,4.0,391.0
55,60559,1357.0,zl,4.0,391.0
56,60560,1358.0,zl,5.0,391.0
57,60561,1370.0,zl,3.0,391.0
58,60562,1376.0,zl,3.0,391.0
59,60563,1391.0,zl,2.0,391.0
60,60564,1393.0,zl,2.0,391.0
61,60565,1396.0,zl,3.0,391.0
62,60566,1408.0,zl,4.0,391.0
63,60567,1429.0,zl,3.0,391.0
64,60568,1466.0,zl,3.0,391.0
65,60569,1527.0,zl,2.0,391.0
66,60570,1573.0,zl,1.0,391.0
67,60571,1580.0,zl,2.0,391.0
68,60572,1594.0,zl,5.0,391.0
69,60573,1610.0,zl,4.0,391.0
70,60574,1617.0,zl,4.0,391.0
71,60575,1619.0,zl,2.0,391.0
72,60576,1639.0,zl,5.0,391.0
73,60577,1645.0,zl,2.0,391.0
74,60578,1653.0,zl,5.0,391.0
75,60579,1676.0,zl,1.0,391.0
76,60580,1682.0,zl,4.0,391.0
77,60581,1704.0,zl,3.0,391.0
78,60582,1711.0,zl,3.0,391.0
79,60583,1719.0,zl,5.0,391.0
80,60584,1722.0,zl,3.0,391.0
81,60585,1729.0,zl,2.0,391.0
82,60586,1732.0,zl,3.0,391.0
83,60587,1734.0,zl,3.0,391.0
84,60588,1748.0,zl,5.0,391.0
85,60589,1805.0,zl,2.0,391.0
86,60590,1834.0,zl,3.0,391.0
87,60591,1845.0,zl,4.0,391.0
88,60592,1860.0,zl,3.0,391.0
89,60593,1892.0,zl,3.0,391.0
90,60594,1900.0,zl,4.0,391.0
91,60595,1912.0,zl,2.0,391.0
92,60596,1916.0,zl,5.0,391.0
93,60597,1921.0,zl,5.0,391.0
94,60598,1923.0,zl,4.0,391.0
95,60599,1947.0,zl,4.0,391.0
96,60600,1952.0,zl,5.0,391.0
97,60601,1960.0,zl,4.0,391.0
98,60602,1961.0,zl,4.0,391.0
99,60603,1968.0,zl,4.0,391.0
100,60604,2003.0,zl,4.0,391.0
101,60605,2011.0,zl,3.0,391.0
102,60606,2012.0,zl,3.0,391.0
103,60607,2019.0,zl,5.0,391.0
104,60608,2021.0,zl,4.0,391.0
105,60609,2023.0,zl,3.0,391.0
106,60610,2028.0,zl,2.0,391.0
107,60611,2076.0,zl,4.0,391.0
108,60612,2078.0,zl,5.0,391.0
109,60613,2080.0,zl,5.0,391.0
110,60614,2094.0,zl,2.0,391.0
111,60615,2108.0,zl,4.0,391.0
112,60616,2115.0,zl,2.0,391.0
113,60617,2145.0,zl,5.0,391.0
114,60618,2171.0,zl,3.0,391.0
115,60619,2194.0,zl,5.0,391.0
116,60620,2232.0,zl,4.0,391.0
117,60621,2248.0,zl,4.0,391.0
118,60622,2275.0,zl,5.0,391.0
119,60623,2278.0,zl,3.0,391.0
120,60624,2288.0,zl,2.0,391.0
121,60625,2291.0,zl,3.0,391.0
122,60626,2318.0,zl,5.0,391.0
123,60627,2324.0,zl,3.0,391.0
124,60628,2333.0,zl,5.0,391.0
